id,name,state_id/id
kabupaten_id_1,Badung,base.state_id_ba
kabupaten_id_2,Bangli,base.state_id_ba
kabupaten_id_3,Buleleng,base.state_id_ba
kabupaten_id_4,Denpasar,base.state_id_ba
kabupaten_id_5,Gianyar,base.state_id_ba
kabupaten_id_6,Jembrana,base.state_id_ba
kabupaten_id_7,Karangasem,base.state_id_ba
kabupaten_id_8,Klungkung,base.state_id_ba
kabupaten_id_9,Tabanan,base.state_id_ba
kabupaten_id_10,Bangka,base.state_id_bb
kabupaten_id_11,Bangka Barat,base.state_id_bb
kabupaten_id_12,Bangka Selatan,base.state_id_bb
kabupaten_id_13,Bangka Tengah,base.state_id_bb
kabupaten_id_14,Belitung,base.state_id_bb
kabupaten_id_15,Belitung Timur,base.state_id_bb
kabupaten_id_16,Pangkal Pinang,base.state_id_bb
kabupaten_id_17,Cilegon,base.state_id_bt
kabupaten_id_18,Lebak,base.state_id_bt
kabupaten_id_19,Pandeglang,base.state_id_bt
kabupaten_id_20,Serang,base.state_id_bt
kabupaten_id_21,Tangerang,base.state_id_bt
kabupaten_id_22,Tangerang Selatan,base.state_id_bt
kabupaten_id_23,Bengkulu,base.state_id_be
kabupaten_id_24,Bengkulu Selatan,base.state_id_be
kabupaten_id_25,Bengkulu Tengah,base.state_id_be
kabupaten_id_26,Bengkulu Utara,base.state_id_be
kabupaten_id_27,Kaur,base.state_id_be
kabupaten_id_28,Kepahiang,base.state_id_be
kabupaten_id_29,Lebong,base.state_id_be
kabupaten_id_30,Muko Muko,base.state_id_be
kabupaten_id_31,Rejang Lebong,base.state_id_be
kabupaten_id_32,Seluma,base.state_id_be
kabupaten_id_33,Bantul,base.state_id_yo
kabupaten_id_34,Gunung Kidul,base.state_id_yo
kabupaten_id_35,Kulon Progo,base.state_id_yo
kabupaten_id_36,Sleman,base.state_id_yo
kabupaten_id_37,Yogyakarta,base.state_id_yo
kabupaten_id_38,Jakarta Barat,base.state_id_jk
kabupaten_id_39,Jakarta Pusat,base.state_id_jk
kabupaten_id_40,Jakarta Selatan,base.state_id_jk
kabupaten_id_41,Jakarta Timur,base.state_id_jk
kabupaten_id_42,Jakarta Utara,base.state_id_jk
kabupaten_id_43,Kepulauan Seribu,base.state_id_jk
kabupaten_id_44,Batang Hari,base.state_id_ja
kabupaten_id_45,Bungo,base.state_id_ja
kabupaten_id_46,Jambi,base.state_id_ja
kabupaten_id_47,Kerinci,base.state_id_ja
kabupaten_id_48,Merangin,base.state_id_ja
kabupaten_id_49,Muaro Jambi,base.state_id_ja
kabupaten_id_50,Sarolangun,base.state_id_ja
kabupaten_id_51,Sungaipenuh,base.state_id_ja
kabupaten_id_52,Tanjung Jabung Barat,base.state_id_ja
kabupaten_id_53,Tanjung Jabung Timur,base.state_id_ja
kabupaten_id_54,Tebo,base.state_id_ja
kabupaten_id_55,Bandung,base.state_id_jb
kabupaten_id_56,Bandung Barat,base.state_id_jb
kabupaten_id_57,Banjar,base.state_id_jb
kabupaten_id_58,Bekasi,base.state_id_jb
kabupaten_id_59,Bogor,base.state_id_jb
kabupaten_id_60,Ciamis,base.state_id_jb
kabupaten_id_61,Cianjur,base.state_id_jb
kabupaten_id_62,Cimahi,base.state_id_jb
kabupaten_id_63,Cirebon,base.state_id_jb
kabupaten_id_64,Depok,base.state_id_jb
kabupaten_id_65,Garut,base.state_id_jb
kabupaten_id_66,Indramayu,base.state_id_jb
kabupaten_id_67,Karawang,base.state_id_jb
kabupaten_id_68,Kuningan,base.state_id_jb
kabupaten_id_69,Majalengka,base.state_id_jb
kabupaten_id_70,Pangandaran,base.state_id_jb
kabupaten_id_71,Purwakarta,base.state_id_jb
kabupaten_id_72,Subang,base.state_id_jb
kabupaten_id_73,Sukabumi,base.state_id_jb
kabupaten_id_74,Sumedang,base.state_id_jb
kabupaten_id_75,Tasikmalaya,base.state_id_jb
kabupaten_id_76,Banjarnegara,base.state_id_jt
kabupaten_id_77,Banyumas,base.state_id_jt
kabupaten_id_78,Batang,base.state_id_jt
kabupaten_id_79,Blora,base.state_id_jt
kabupaten_id_80,Boyolali,base.state_id_jt
kabupaten_id_81,Brebes,base.state_id_jt
kabupaten_id_82,Cilacap,base.state_id_jt
kabupaten_id_83,Demak,base.state_id_jt
kabupaten_id_84,Grobogan,base.state_id_jt
kabupaten_id_85,Jepara,base.state_id_jt
kabupaten_id_86,Karanganyar,base.state_id_jt
kabupaten_id_87,Kebumen,base.state_id_jt
kabupaten_id_88,Kendal,base.state_id_jt
kabupaten_id_89,Klaten,base.state_id_jt
kabupaten_id_90,Kudus,base.state_id_jt
kabupaten_id_91,Magelang,base.state_id_jt
kabupaten_id_92,Pati,base.state_id_jt
kabupaten_id_93,Pekalongan,base.state_id_jt
kabupaten_id_94,Pemalang,base.state_id_jt
kabupaten_id_95,Purbalingga,base.state_id_jt
kabupaten_id_96,Purworejo,base.state_id_jt
kabupaten_id_97,Rembang,base.state_id_jt
kabupaten_id_98,Salatiga,base.state_id_jt
kabupaten_id_99,Semarang,base.state_id_jt
kabupaten_id_100,Sragen,base.state_id_jt
kabupaten_id_101,Sukoharjo,base.state_id_jt
kabupaten_id_102,Surakarta (Solo),base.state_id_jt
kabupaten_id_103,Tegal,base.state_id_jt
kabupaten_id_104,Temanggung,base.state_id_jt
kabupaten_id_105,Wonogiri,base.state_id_jt
kabupaten_id_106,Wonosobo,base.state_id_jt
kabupaten_id_107,Bangkalan,base.state_id_ji
kabupaten_id_108,Banyuwangi,base.state_id_ji
kabupaten_id_109,Batu,base.state_id_ji
kabupaten_id_110,Blitar,base.state_id_ji
kabupaten_id_111,Bojonegoro,base.state_id_ji
kabupaten_id_112,Bondowoso,base.state_id_ji
kabupaten_id_113,Gresik,base.state_id_ji
kabupaten_id_114,Jember,base.state_id_ji
kabupaten_id_115,Jombang,base.state_id_ji
kabupaten_id_116,Kediri,base.state_id_ji
kabupaten_id_117,Lamongan,base.state_id_ji
kabupaten_id_118,Lumajang,base.state_id_ji
kabupaten_id_119,Madiun,base.state_id_ji
kabupaten_id_120,Magetan,base.state_id_ji
kabupaten_id_121,Malang,base.state_id_ji
kabupaten_id_122,Mojokerto,base.state_id_ji
kabupaten_id_123,Nganjuk,base.state_id_ji
kabupaten_id_124,Ngawi,base.state_id_ji
kabupaten_id_125,Pacitan,base.state_id_ji
kabupaten_id_126,Pamekasan,base.state_id_ji
kabupaten_id_127,Pasuruan,base.state_id_ji
kabupaten_id_128,Ponorogo,base.state_id_ji
kabupaten_id_129,Probolinggo,base.state_id_ji
kabupaten_id_130,Sampang,base.state_id_ji
kabupaten_id_131,Sidoarjo,base.state_id_ji
kabupaten_id_132,Situbondo,base.state_id_ji
kabupaten_id_133,Sumenep,base.state_id_ji
kabupaten_id_134,Surabaya,base.state_id_ji
kabupaten_id_135,Trenggalek,base.state_id_ji
kabupaten_id_136,Tuban,base.state_id_ji
kabupaten_id_137,Tulungagung,base.state_id_ji
kabupaten_id_138,Bengkayang,base.state_id_kb
kabupaten_id_139,Kapuas Hulu,base.state_id_kb
kabupaten_id_140,Kayong Utara,base.state_id_kb
kabupaten_id_141,Ketapang,base.state_id_kb
kabupaten_id_142,Kubu Raya,base.state_id_kb
kabupaten_id_143,Landak,base.state_id_kb
kabupaten_id_144,Melawi,base.state_id_kb
kabupaten_id_145,Pontianak,base.state_id_kb
kabupaten_id_146,Sambas,base.state_id_kb
kabupaten_id_147,Sanggau,base.state_id_kb
kabupaten_id_148,Sekadau,base.state_id_kb
kabupaten_id_149,Singkawang,base.state_id_kb
kabupaten_id_150,Sintang,base.state_id_kb
kabupaten_id_151,Balangan,base.state_id_ks
kabupaten_id_152,Banjar,base.state_id_ks
kabupaten_id_153,Banjarbaru,base.state_id_ks
kabupaten_id_154,Banjarmasin,base.state_id_ks
kabupaten_id_155,Barito Kuala,base.state_id_ks
kabupaten_id_156,Hulu Sungai Selatan,base.state_id_ks
kabupaten_id_157,Hulu Sungai Tengah,base.state_id_ks
kabupaten_id_158,Hulu Sungai Utara,base.state_id_ks
kabupaten_id_159,Kotabaru,base.state_id_ks
kabupaten_id_160,Tabalong,base.state_id_ks
kabupaten_id_161,Tanah Bumbu,base.state_id_ks
kabupaten_id_162,Tanah Laut,base.state_id_ks
kabupaten_id_163,Tapin,base.state_id_ks
kabupaten_id_164,Barito Selatan,base.state_id_kt
kabupaten_id_165,Barito Timur,base.state_id_kt
kabupaten_id_166,Barito Utara,base.state_id_kt
kabupaten_id_167,Gunung Mas,base.state_id_kt
kabupaten_id_168,Kapuas,base.state_id_kt
kabupaten_id_169,Katingan,base.state_id_kt
kabupaten_id_170,Kotawaringin Barat,base.state_id_kt
kabupaten_id_171,Kotawaringin Timur,base.state_id_kt
kabupaten_id_172,Lamandau,base.state_id_kt
kabupaten_id_173,Murung Raya,base.state_id_kt
kabupaten_id_174,Palangka Raya,base.state_id_kt
kabupaten_id_175,Pulang Pisau,base.state_id_kt
kabupaten_id_176,Seruyan,base.state_id_kt
kabupaten_id_177,Sukamara,base.state_id_kt
kabupaten_id_178,Balikpapan,base.state_id_ki
kabupaten_id_179,Berau,base.state_id_ki
kabupaten_id_180,Bontang,base.state_id_ki
kabupaten_id_181,Kutai Barat,base.state_id_ki
kabupaten_id_182,Kutai Kartanegara,base.state_id_ki
kabupaten_id_183,Kutai Timur,base.state_id_ki
kabupaten_id_184,Paser,base.state_id_ki
kabupaten_id_185,Penajam Paser Utara,base.state_id_ki
kabupaten_id_186,Samarinda,base.state_id_ki
kabupaten_id_187,Bulungan (Bulongan),base.state_id_ku
kabupaten_id_188,Malinau,base.state_id_ku
kabupaten_id_189,Nunukan,base.state_id_ku
kabupaten_id_190,Tana Tidung,base.state_id_ku
kabupaten_id_191,Tarakan,base.state_id_ku
kabupaten_id_192,Batam,base.state_id_kr
kabupaten_id_193,Bintan,base.state_id_kr
kabupaten_id_194,Karimun,base.state_id_kr
kabupaten_id_195,Kepulauan Anambas,base.state_id_kr
kabupaten_id_196,Lingga,base.state_id_kr
kabupaten_id_197,Natuna,base.state_id_kr
kabupaten_id_198,Tanjung Pinang,base.state_id_kr
kabupaten_id_199,Bandar Lampung,base.state_id_la
kabupaten_id_200,Lampung Barat,base.state_id_la
kabupaten_id_201,Lampung Selatan,base.state_id_la
kabupaten_id_202,Lampung Tengah,base.state_id_la
kabupaten_id_203,Lampung Timur,base.state_id_la
kabupaten_id_204,Lampung Utara,base.state_id_la
kabupaten_id_205,Mesuji,base.state_id_la
kabupaten_id_206,Metro,base.state_id_la
kabupaten_id_207,Pesawaran,base.state_id_la
kabupaten_id_208,Pesisir Barat,base.state_id_la
kabupaten_id_209,Pringsewu,base.state_id_la
kabupaten_id_210,Tanggamus,base.state_id_la
kabupaten_id_211,Tulang Bawang,base.state_id_la
kabupaten_id_212,Tulang Bawang Barat,base.state_id_la
kabupaten_id_213,Way Kanan,base.state_id_la
kabupaten_id_214,Aceh Barat,base.state_id_ac
kabupaten_id_215,Aceh Barat Daya,base.state_id_ac
